1	9238
2	3532
3	4767
4	3207
5	3592
6	2355
7	2873
8	2386
9	3019
10	3001
11	2917
12	2583
13	2799
14	3039
15	2637
16	2388
17	2192
18	1669
19	1955
20	1538
21	1559
22	1377
23	1293
24	972
25	1019
26	869
27	904
28	665
29	787
30	609
31	691
32	592
33	571
34	518
35	622
36	422
37	452
38	320
39	421
40	334
41	384
42	306
43	369
44	287
45	312
46	266
47	323
48	271
49	288
50	224
51	247
52	226
53	228
54	225
55	214
56	196
57	159
58	150
59	131
60	140
61	148
62	129
63	107
64	101
65	108
66	97
67	96
68	75
69	81
70	79
71	65
72	68
73	72
74	66
75	71
76	68
77	79
78	56
79	74
80	62
81	55
82	51
83	53
84	54
85	42
86	35
87	33
88	29
89	25
90	28
91	34
92	36
93	38
94	41
95	26
96	40
97	24
98	26
99	21
100	24
101	28
102	30
103	36
104	40
105	18
106	25
107	22
108	20
109	18
110	15
111	12
112	19
113	14
114	19
115	18
116	13
117	12
118	18
119	17
120	5
121	4
122	13
123	7
124	9
125	9
126	12
127	9
128	3
129	1
130	8
131	4
132	8
133	7
134	9
135	6
136	5
137	3
138	1
139	1
140	5
141	9
142	15
143	10
144	9
145	3
147	5
148	7
149	5
150	8
151	5
153	5
154	1
157	1
159	1
175	1
184	2
186	1
