1	3614
2	2274
3	3016
4	2219
5	2606
6	2190
7	2240
8	2111
9	2490
10	2433
11	2784
12	2485
13	2648
14	2285
15	2135
16	1908
17	1891
18	1737
19	1707
20	1580
21	1707
22	1703
23	1656
24	1473
25	1536
26	1378
27	1329
28	1260
29	1287
30	1310
31	1181
32	1168
33	1104
34	1082
35	1059
36	915
37	942
38	934
39	925
40	817
41	803
42	762
43	726
44	754
45	663
46	665
47	632
48	608
49	560
50	525
51	511
52	485
53	519
54	445
55	444
56	403
57	375
58	384
59	366
60	345
61	331
62	330
63	310
64	286
65	324
66	246
67	256
68	219
69	218
70	226
71	198
72	189
73	178
74	152
75	144
76	156
77	145
78	117
79	113
80	131
81	123
82	114
83	87
84	98
85	84
86	86
87	96
88	75
89	76
90	83
91	67
92	72
93	69
94	58
95	55
96	49
97	54
98	42
99	49
100	53
101	38
102	37
103	41
104	35
105	30
106	34
107	31
108	28
109	30
110	24
111	13
112	19
113	19
114	20
115	24
116	20
117	22
118	26
119	16
120	13
121	14
122	14
123	12
124	17
125	11
126	10
127	9
128	7
129	7
130	5
131	12
132	9
133	5
134	12
135	5
136	11
137	3
138	2
139	4
140	5
141	7
142	3
143	1
144	2
145	8
146	5
147	2
148	5
149	3
150	3
152	1
153	1
155	3
157	4
158	2
159	1
161	2
162	3
163	2
165	2
166	1
170	2
171	4
183	1
187	1
188	1
197	1
211	1
214	1
217	1
